t,velL,velR,velL_sp,velR_sp,mL,mR,rawL,rawR
1379.202357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.204367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.206357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.208367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.210357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.212367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.214357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.216367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.218357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.220367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.222357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.224367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.226357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.228367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.230357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.232367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.234357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.236367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.238357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.240367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.242357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.244367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.246357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.248367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.250357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.252367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.254357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.256367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.258357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.260367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.262357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.264367,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.266357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.268357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.270357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.272358,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.274357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
1379.276357,0.000000,0.000000,0.000000,0.000000,0.078155,0.063163,0.078155,0.063163
