t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
248.172640,0.000000,0.000000,,,0.000000,0.000000,,
248.177640,0.000000,0.000000,,,0.000000,0.000000,,
248.182640,0.000000,0.000000,,,0.000000,0.000000,,
248.187640,0.000000,0.000000,,,0.000000,0.000000,,
248.192640,0.000000,0.000000,,,0.000000,0.000000,,
248.197640,0.000000,0.000000,,,0.000000,0.000000,,
248.202640,0.000000,0.000000,,,0.000000,0.000000,,
248.207640,0.000000,0.000000,,,0.000000,0.000000,,
248.212664,0.000000,0.000000,,,0.000000,0.000000,,
248.217660,0.000000,0.000000,,,0.000000,0.000000,,
248.222640,0.000000,0.000000,,,0.000000,0.000000,,
248.227640,0.000000,0.000000,,,0.000000,0.000000,,
248.232640,0.000000,0.000000,,,0.000000,0.000000,,
248.237640,0.000000,0.000000,,,0.000000,0.000000,,
248.242640,0.000000,0.000000,,,0.000000,0.000000,,
248.247640,0.000000,0.000000,,,0.000000,0.000000,,
248.252640,0.000000,0.000000,,,0.000000,0.000000,,
248.257640,0.000000,0.000000,,,0.000000,0.000000,,
248.262640,0.000000,0.000000,,,0.000000,0.000000,,
248.267640,0.000000,0.000000,,,0.000000,0.000000,,
248.272640,0.000000,0.000000,,,0.000000,0.000000,,
248.277640,0.000000,0.000000,,,0.000000,0.000000,,
248.282640,0.000000,0.000000,,,0.000000,0.000000,,
248.287640,0.000000,0.000000,,,0.000000,0.000000,,
248.292640,0.000000,0.000000,,,0.000000,0.000000,,
248.297640,0.000000,0.000000,,,0.000000,0.000000,,
248.302640,0.000000,0.000000,,,0.000000,0.000000,,
248.307640,0.000000,0.000000,,,0.000000,0.000000,,
248.312640,0.000000,0.000000,,,0.000000,0.000000,,
248.317640,0.000000,0.000000,,,0.000000,0.000000,,
248.322640,0.000000,0.000000,,,0.000000,0.000000,,
248.327640,0.000000,0.000000,,,0.000000,0.000000,,
248.332642,0.000000,0.000000,,,0.000000,0.000000,,
248.337699,0.000000,0.000000,,,0.000000,0.000000,,
248.342640,0.000000,0.000000,,,0.000000,0.000000,,
248.347640,0.000000,0.000000,,,0.000000,0.000000,,
248.352640,0.000000,0.000000,,,0.000000,0.000000,,
248.357640,0.000000,0.000000,,,0.000000,0.000000,,
248.362640,0.000000,0.000000,,,0.000000,0.000000,,
248.367640,0.000000,0.000000,,,0.000000,0.000000,,
248.372640,0.000000,0.000000,,,0.000000,0.000000,,
248.377674,0.000000,0.000000,,,0.000000,0.000000,,
248.382645,0.000000,0.000000,,,0.000000,0.000000,,
248.387689,0.000000,0.000000,,,0.000000,0.000000,,
248.392640,0.000000,0.000000,,,0.000000,0.000000,,
248.397640,0.000000,0.000000,,,0.000000,0.000000,,
248.402640,0.000000,0.000000,,,0.000000,0.000000,,
248.407640,0.000000,0.000000,,,0.000000,0.000000,,
248.412640,0.000000,0.000000,,,0.000000,0.000000,,
248.417640,0.000000,0.000000,,,0.000000,0.000000,,
248.422640,0.000000,0.000000,,,0.000000,0.000000,,
248.427640,0.000000,0.000000,,,0.000000,0.000000,,
248.432640,0.000000,0.000000,,,0.000000,0.000000,,
248.437640,0.000000,0.000000,,,0.000000,0.000000,,
248.442640,0.000000,0.000000,,,0.000000,0.000000,,
248.447640,0.000000,0.000000,,,0.000000,0.000000,,
248.452640,0.000000,0.000000,,,0.000000,0.000000,,
248.457640,0.000000,0.000000,,,0.000000,0.000000,,
248.462640,0.000000,0.000000,,,0.000000,0.000000,,
248.467640,0.000000,0.000000,,,0.000000,0.000000,,
248.472640,0.000000,0.000000,,,0.000000,0.000000,,
248.477640,0.000000,0.000000,,,0.000000,0.000000,,
248.482640,0.000000,0.000000,,,0.000000,0.000000,,
248.487640,0.000000,0.000000,,,0.000000,0.000000,,
248.492640,0.000000,0.000000,,,0.000000,0.000000,,
248.497640,0.000000,0.000000,,,0.000000,0.000000,,
248.502640,0.000000,0.000000,,,0.000000,0.000000,,
248.507640,0.000000,0.000000,,,0.000000,0.000000,,
248.512640,0.000000,0.000000,,,0.000000,0.000000,,
248.517640,0.000000,0.000000,,,0.000000,0.000000,,
248.522640,0.000000,0.000000,,,0.000000,0.000000,,
248.527640,0.000000,0.000000,,,0.000000,0.000000,,
248.532640,0.000000,0.000000,,,0.000000,0.000000,,
248.537640,0.000000,0.000000,,,0.000000,0.000000,,
248.542640,0.000000,0.000000,,,0.000000,0.000000,,
248.547640,0.000000,0.000000,,,0.000000,0.000000,,
248.552640,0.000000,0.000000,,,0.000000,0.000000,,
248.557640,0.000000,0.000000,,,0.000000,0.000000,,
248.562640,0.000000,0.000000,,,0.000000,0.000000,,
248.567640,0.000000,0.000000,,,0.000000,0.000000,,
248.572640,0.000000,0.000000,,,0.000000,0.000000,,
248.577640,0.000000,0.000000,,,0.000000,0.000000,,
248.582640,0.000000,0.000000,,,0.000000,0.000000,,
248.587640,0.000000,0.000000,,,0.000000,0.000000,,
248.592640,0.000000,0.000000,,,0.000000,0.000000,,
248.597640,0.000000,0.000000,,,0.000000,0.000000,,
248.602640,0.000000,0.000000,,,0.000000,0.000000,,
248.607640,0.000000,0.000000,,,0.000000,0.000000,,
248.612640,0.000000,0.000000,,,0.000000,0.000000,,
248.617640,0.000000,0.000000,,,0.000000,0.000000,,
248.622640,0.000000,0.000000,,,0.000000,0.000000,,
248.627640,0.000000,0.000000,,,0.000000,0.000000,,
248.632640,0.000000,0.000000,,,0.000000,0.000000,,
248.637640,0.000000,0.000000,,,0.000000,0.000000,,
248.642640,0.000000,0.000000,,,0.000000,0.000000,,
248.647640,0.000000,0.000000,,,0.000000,0.000000,,
248.652640,0.000000,0.000000,,,0.000000,0.000000,,
248.657640,0.000000,0.000000,,,0.000000,0.000000,,
248.662640,0.000000,0.000000,,,0.000000,0.000000,,
248.667640,0.000000,0.000000,,,0.000000,0.000000,,
248.672640,0.000000,0.000000,,,0.000000,0.000000,,
248.677640,0.000000,0.000000,,,0.000000,0.000000,,
248.682640,0.000000,0.000000,,,0.000000,0.000000,,
248.687640,0.000000,0.000000,,,0.000000,0.000000,,
248.692640,0.000000,0.000000,,,0.000000,0.000000,,
248.697640,0.000000,0.000000,,,0.000000,0.000000,,
248.702640,0.000000,0.000000,,,0.000000,0.000000,,
248.707640,0.000000,0.000000,,,0.000000,0.000000,,
