t,velL,velR,velL_sp,velR_sp,mL,mR
2603.109956,8.567980,-8.567980,,,0.300000,0.300000
2603.114956,9.519978,-7.615982,,,0.300000,0.300000
2603.119956,7.615982,-8.567980,,,0.300000,0.300000
2603.124956,9.519978,-8.567980,,,0.300000,0.300000
2603.129956,8.567980,-7.615982,,,0.300000,0.300000
2603.134956,8.567980,-8.567980,,,0.300000,0.300000
2603.139956,8.567980,-7.615982,,,0.300000,0.300000
2603.144956,8.567980,-8.567980,,,0.300000,0.300000
2603.149956,8.567980,-8.567980,,,0.300000,0.300000
2603.154956,8.567980,-7.615982,,,0.300000,0.300000
2603.159956,8.567980,-8.567980,,,0.300000,0.300000
2603.164956,8.567980,-7.615982,,,0.300000,0.300000
2603.169956,8.567980,-8.567980,,,0.300000,0.300000
2603.174956,8.567980,-8.567980,,,0.300000,0.300000
2603.179956,9.519978,-7.615982,,,0.300000,0.300000
2603.184956,8.567980,-8.567980,,,0.300000,0.300000
2603.189956,8.567980,-8.567980,,,0.300000,0.300000
2603.194956,8.567980,-7.615982,,,0.300000,0.300000
2603.199956,8.567980,-8.567980,,,0.300000,0.300000
2603.204956,8.567980,-7.615982,,,0.300000,0.300000
2603.209956,8.567980,-8.567980,,,0.300000,0.300000
2603.214956,8.567980,-7.615982,,,0.300000,0.300000
2603.219956,8.567980,-8.567980,,,0.300000,0.300000
2603.224956,8.567980,-8.567980,,,0.300000,0.300000
2603.229956,8.567980,-7.615982,,,0.300000,0.300000
2603.234956,9.519978,-8.567980,,,0.300000,0.300000
2603.239956,7.615982,-8.567980,,,0.300000,0.300000
2603.244956,9.519978,-7.615982,,,0.300000,0.300000
2603.249956,8.567980,-8.567980,,,0.300000,0.300000
2603.254956,8.567980,-7.615982,,,0.300000,0.300000
2603.259956,8.567980,-8.567980,,,0.300000,0.300000
2603.264956,8.567980,-7.615982,,,0.300000,0.300000
2603.269956,8.567980,-8.567980,,,0.300000,0.300000
2603.274956,8.567980,-8.567980,,,0.300000,0.300000
2603.279956,8.567980,-7.615982,,,0.300000,0.300000
2603.284956,8.567980,-8.567980,,,0.300000,0.300000
2603.289956,8.567980,-7.615982,,,0.300000,0.300000
2603.294956,8.567980,-8.567980,,,0.300000,0.300000
2603.299956,8.567980,-7.615982,,,0.300000,0.300000
2603.304956,8.567980,-8.567980,,,0.300000,0.300000
2603.309956,8.567980,-8.567980,,,0.300000,0.300000
2603.314956,8.567980,-7.615982,,,0.300000,0.300000
2603.319956,9.519978,-8.567980,,,0.300000,0.300000
2603.324956,7.615982,-7.615982,,,0.300000,0.300000
2603.329956,8.567980,-8.567980,,,0.300000,0.300000
2603.334956,8.567980,-7.615982,,,0.300000,0.300000
2603.339956,9.519978,-8.567980,,,0.300000,0.300000
2603.344956,7.615982,-8.567980,,,0.300000,0.300000
2603.349956,9.519978,-7.615982,,,0.300000,0.300000
2603.354957,8.563220,-8.563220,,,0.300000,0.300000
2603.359960,8.558460,-8.558460,,,0.300000,0.300000
2603.364956,7.620742,-7.620742,,,0.300000,0.300000
2603.369956,9.519978,-7.615982,,,0.300000,0.300000
2603.374956,7.615982,-8.567980,,,0.300000,0.300000
2603.379956,9.519978,-7.615982,,,0.300000,0.300000
2603.384961,12.361691,-12.361691,,,0.300000,0.300000
2603.389963,4.755229,-4.755229,,,0.300000,0.300000
2603.394963,9.519978,-8.567980,,,0.300000,0.300000
2603.399965,7.611222,-7.611222,,,0.300000,0.300000
2603.404960,8.572740,-7.620742,,,0.300000,0.300000
2603.409956,8.572740,-7.620742,,,0.300000,0.300000
2603.414956,8.567980,-8.567980,,,0.300000,0.300000
2603.419956,8.567980,-8.567980,,,0.300000,0.300000
2603.424956,8.567980,-7.615982,,,0.300000,0.300000
2603.429956,8.567980,-8.567980,,,0.300000,0.300000
2603.434956,8.567980,-7.615982,,,0.300000,0.300000
2603.439956,8.567980,-8.567980,,,0.300000,0.300000
2603.444956,8.567980,-7.615982,,,0.300000,0.300000
2603.449956,8.567980,-7.615982,,,0.300000,0.300000
2603.454956,7.615982,-8.567980,,,0.300000,0.300000
2603.459956,9.519978,-7.615982,,,0.300000,0.300000
2603.464956,7.615982,-8.567980,,,0.300000,0.300000
2603.469956,9.519978,-7.615982,,,0.300000,0.300000
2603.474956,8.567980,-8.567980,,,0.300000,0.300000
2603.479956,8.567980,-7.615982,,,0.300000,0.300000
2603.484956,7.615982,-8.567980,,,0.300000,0.300000
2603.489956,9.519978,-7.615982,,,0.300000,0.300000
2603.494956,7.615982,-8.567980,,,0.300000,0.300000
2603.499956,9.519978,-7.615982,,,0.300000,0.300000
2603.504956,8.567980,-8.567980,,,0.300000,0.300000
2603.509956,8.567980,-7.615982,,,0.300000,0.300000
2603.514956,8.567980,-8.567980,,,0.300000,0.300000
2603.519956,8.567980,-7.615982,,,0.300000,0.300000
2603.524956,8.567980,-8.567980,,,0.300000,0.300000
2603.529956,8.567980,-7.615982,,,0.300000,0.300000
2603.534956,8.567980,-7.615982,,,0.300000,0.300000
2603.539956,8.567980,-8.567980,,,0.300000,0.300000
2603.544956,8.567980,-8.567980,,,0.300000,0.300000
2603.549956,8.567980,-7.615982,,,0.300000,0.300000
2603.554956,7.615982,-8.567980,,,0.300000,0.300000
2603.559956,9.519978,-7.615982,,,0.300000,0.300000
2603.564956,7.615982,-7.615982,,,0.300000,0.300000
2603.569956,9.519978,-8.567980,,,0.300000,0.300000
2603.574956,7.615982,-7.615982,,,0.300000,0.300000
2603.579957,9.515218,-8.563220,,,0.300000,0.300000
2603.584956,7.615982,-7.615982,,,0.300000,0.300000
2603.589956,8.567980,-8.567980,,,0.300000,0.300000
2603.594956,8.567980,-7.615982,,,0.300000,0.300000
2603.599956,9.519978,-8.567980,,,0.300000,0.300000
2603.604956,7.615982,-7.615982,,,0.300000,0.300000
2603.609956,9.519978,-8.567980,,,0.300000,0.300000
2603.614956,7.615982,-7.615982,,,0.300000,0.300000
2603.619956,9.519978,-7.615982,,,0.300000,0.300000
2603.624956,8.567980,-8.567980,,,0.300000,0.300000
2603.629956,8.567980,-7.615982,,,0.300000,0.300000
2603.634956,8.567980,-8.567980,,,0.300000,0.300000
2603.639956,8.567980,-7.615982,,,1.000000,1.000000
2603.644956,8.567980,-9.519978,,,1.000000,1.000000
2603.649956,11.423973,-9.519978,,,1.000000,1.000000
2603.654956,12.375971,-12.375971,,,1.000000,1.000000
2603.659956,13.327969,-13.327969,,,1.000000,1.000000
2603.664956,15.231964,-15.231964,,,1.000000,1.000000
2603.669956,16.183962,-16.183962,,,1.000000,1.000000
2603.674956,18.087957,-17.135960,,,1.000000,1.000000
2603.679961,18.068918,-19.020916,,,1.000000,1.000000
2603.684956,20.010994,-19.058996,,,1.000000,1.000000
2603.689956,19.991953,-19.991953,,,1.000000,1.000000
2603.694956,20.943951,-20.943951,,,1.000000,1.000000
2603.699956,21.895948,-21.895948,,,1.000000,1.000000
2603.704956,22.847946,-21.895948,,,1.000000,1.000000
2603.709956,22.847946,-23.799944,,,1.000000,1.000000
2603.714956,23.799944,-22.847946,,,1.000000,1.000000
2603.719956,24.751942,-23.799944,,,1.000000,1.000000
2603.724956,24.751942,-24.751942,,,1.000000,1.000000
2603.729956,24.751942,-24.751942,,,1.000000,1.000000
2603.734956,25.703939,-25.703939,,,1.000000,1.000000
2603.739956,26.655937,-25.703939,,,1.000000,1.000000
2603.744956,26.655937,-25.703939,,,1.000000,1.000000
2603.749956,26.655937,-26.655937,,,1.000000,1.000000
2603.754956,26.655937,-26.655937,,,1.000000,1.000000
2603.759956,26.655937,-27.607935,,,1.000000,1.000000
2603.764956,27.607935,-26.655937,,,1.000000,1.000000
2603.769956,27.607935,-27.607935,,,1.000000,1.000000
2603.774956,28.559933,-27.607935,,,1.000000,1.000000
2603.779956,27.607935,-28.559933,,,1.000000,1.000000
2603.784956,28.559933,-27.607935,,,1.000000,1.000000
2603.789956,28.559933,-28.559933,,,1.000000,1.000000
2603.794956,28.559933,-28.559933,,,1.000000,1.000000
2603.799956,28.559933,-28.559933,,,1.000000,1.000000
2603.804956,28.559933,-29.511930,,,1.000000,1.000000
2603.809956,29.511930,-28.559933,,,1.000000,1.000000
2603.814956,28.559933,-29.511930,,,1.000000,1.000000
2603.819956,28.559933,-29.511930,,,1.000000,1.000000
2603.824956,29.511930,-29.511930,,,1.000000,1.000000
2603.829956,29.511930,-29.511930,,,1.000000,1.000000
2603.834956,28.559933,-29.511930,,,1.000000,1.000000
2603.839956,29.511930,-29.511930,,,1.000000,1.000000
2603.844956,29.511930,-30.463928,,,1.000000,1.000000
2603.849956,30.463928,-30.463928,,,1.000000,1.000000
2603.854957,29.502411,-29.502411,,,1.000000,1.000000
2603.859960,29.492891,-30.444889,,,1.000000,1.000000
2603.864956,29.530972,-29.530972,,,1.000000,1.000000
2603.869956,29.511930,-30.463928,,,1.000000,1.000000
2603.874956,29.511930,-30.463928,,,1.000000,1.000000
2603.879956,29.511930,-30.463928,,,1.000000,1.000000
2603.884956,30.463928,-30.463928,,,1.000000,1.000000
2603.889956,29.511930,-30.463928,,,1.000000,1.000000
2603.894977,34.124359,-33.177124,,,1.000000,1.000000
2603.899957,26.760658,-27.717415,,,1.000000,1.000000
2603.904970,33.229481,-33.229481,,,1.000000,1.000000
2603.909964,27.636496,-29.545252,,,1.000000,1.000000
2603.914956,28.602774,-28.602774,,,1.000000,1.000000
2603.919956,30.463928,-31.415926,,,1.000000,1.000000
2603.924956,30.463928,-30.463928,,,1.000000,1.000000
2603.929956,30.463928,-30.463928,,,1.000000,1.000000
2603.934956,29.511930,-30.463928,,,1.000000,1.000000
2603.939956,30.463928,-31.415926,,,1.000000,1.000000
2603.944956,30.463928,-30.463928,,,1.000000,1.000000
2603.949956,30.463928,-31.415926,,,1.000000,1.000000
2603.954956,30.463928,-30.463928,,,1.000000,1.000000
2603.959956,31.415926,-31.415926,,,1.000000,1.000000
2603.964956,30.463928,-30.463928,,,1.000000,1.000000
2603.969956,30.463928,-31.415926,,,1.000000,1.000000
2603.974956,30.463928,-30.463928,,,1.000000,1.000000
2603.979956,31.415926,-31.415926,,,1.000000,1.000000
2603.984956,30.463928,-30.463928,,,1.000000,1.000000
2603.989956,30.463928,-31.415926,,,1.000000,1.000000
2603.994956,31.415926,-30.463928,,,1.000000,1.000000
2603.999956,30.463928,-31.415926,,,1.000000,1.000000
2604.004956,30.463928,-31.415926,,,1.000000,1.000000
2604.009956,31.415926,-30.463928,,,1.000000,1.000000
2604.014956,30.463928,-31.415926,,,1.000000,1.000000
2604.019956,31.415926,-31.415926,,,1.000000,1.000000
2604.024956,30.463928,-30.463928,,,1.000000,1.000000
2604.029956,31.415926,-31.415926,,,1.000000,1.000000
2604.034956,31.415926,-31.415926,,,1.000000,1.000000
2604.039956,30.463928,-30.463928,,,1.000000,1.000000
2604.044956,31.415926,-31.415926,,,1.000000,1.000000
2604.049956,30.463928,-31.415926,,,1.000000,1.000000
2604.054956,31.415926,-30.463928,,,1.000000,1.000000
2604.059956,31.415926,-31.415926,,,1.000000,1.000000
2604.064956,30.463928,-31.415926,,,1.000000,1.000000
2604.069956,31.415926,-30.463928,,,1.000000,1.000000
2604.074956,31.415926,-31.415926,,,1.000000,1.000000
